61139,5493928243 59206,8018757286 50756,3593942025 60847,6971109012 58843,7771997664 50995,3738651647
61139,5493928243 59396,7853454533 53116,9857015029 61203,2679854028 59052,7727627975 51324,4240744922
61254,0702163856 59601,9970084117 52835,381862951 61203,2679854028 59148,0538198319 50871,0177921866
61325,554766752 59775,697694465 54372,6286275639 61290,1781665878 59301,9957223446 52048,1366676495
61556,4277430549 59949,1506120192 53873,0926243977 61290,1781665878 59453,6140997955 51497,8085056699
61629,7251300059 60031,966545736 54723,9416295866 61458,0304509993 59634,1323954312 50854,3326824312
61653,8730267985 60156,2272839477 54152,9866318436 61605,4450479417 59638,4667072556 51892,4727544632
61767,5553947016 60344,1883368143 55684,0916274463 61605,4450479417 59813,5836095292 52509,5446611134
61844,0505125314 60482,5860216364 55470,6128059777 61654,5976680847 59859,6672216364 52521,9376143415
61862,9965813267 60637,5582225896 56425,4339949566 61721,9933187562 59970,1022541134 53027,0015672313
61868,574759306 60793,4156149468 55929,9276992165 61828,4159825411 60106,9345667697 52353,5207365355
62105,704905286 60893,674562848 55969,2075475716 61828,4159825411 60179,1375597509 53594,3273874876
62182,1298819025 61069,2620803707 56279,0425872167 61828,4159825411 60261,967619029 53298,4967046492
62333,5458839854 61178,9711272647 56226,292841219 61828,4159825411 60383,2054420833 52417,9504779589
62374,6065127954 61244,1261083877 55783,9771379444 61844,7125194517 60442,8669782831 51299,2224120032
62453,6334845135 61324,2017600621 56190,9108917524 61895,1548453177 60583,8642898165 52852,1094246612
62453,6334845135 61380,4260897895 56514,2596716516 61946,0978202187 60594,576061731 53440,5387304032
62523,2804395847 61542,0372555399 56985,0034447256 61968,2420994271 60690,916844218 53505,4974486478
62554,1549209036 61532,9241600962 57237,2966624024 62523,2804395847 61601,2084203866 53169,7629003884
62672,3093755723 61649,2885188402 56136,7499166576 62523,2804395847 61662,3293765448 53649,8423307677
63096,2526192614 61753,2850027182 56235,9626965504 62672,3093755723 61724,6253208232 54462,2816683888
63096,2526192614 61855,059079367 57739,5826425486 62689,2095725773 61795,1815459649 55304,372817604
63285,0096249072 61928,7753261545 56886,9745680166 62672,3093755723 61817,0193216114 55254,207903652
63440,7259392712 61978,3829785304 57091,4330253853 62672,3093755723 61864,5536358302 55476,2985502757
63440,7259392712 62064,1633637723 57625,2019820762 62704,2390663286 61992,4476760456 55210,5690978303
63482,5993906042 62129,0361568197 57705,3224119713 62739,4878909163 62011,0894374477 55481,8323660418
63490,8430706156 62323,0435681339 57259,6752168208 62704,2390663286 62059,4109514094 54682,6433798382
63532,7165219486 62374,8617576636 57364,6163019334 62735,2650933784 62101,9478412742 53953,7469518434
63605,4477637517 62440,3833977542 57806,754738262 62902,0897256158 62188,5756195875 55263,3734655687
63924,4013507021 62542,4775327831 58583,3410400506 62902,0897256158 62233,6103155474 55925,3483297972
63924,4013507021 62581,3474711672 58757,7383075665 62943,3572960469 62289,6597939564 55643,9810493374
63991,5906834156 62667,3999326598 57979,8032607294 62943,3572960469 62336,0392875371 55907,2156876548
63991,5906834156 62698,4725770258 57876,4840744666 63014,5125884869 62387,4438250488 55368,0975682538
64026,7728606361 62773,1901215059 58321,8887048757 63014,5125884869 62456,0881096882 56131,9439470072
64026,7728606361 62818,8205664331 57736,5968507122 63014,5125884869 62487,5911759535 55113,4177818069
64026,7728606361 62843,1692679946 57289,3146713641 63014,5125884869 62514,8366749445 55051,2474168374
64205,8470333058 62917,3339670962 59089,0922197645 63070,8874121989 62564,7251148565 56087,0961283878
64205,8470333058 62932,5922251601 58306,4119931545 63211,5109336629 62600,1897669295 56016,4355867047
64215,3041006346 63053,2334980137 58199,9063722712 64225,3464583035 63050,0951183181 55575,8555777087
64215,3041006346 63098,7571149562 58354,5860906719 64210,0982677517 63095,8916356519 56247,0298102406
64215,3041006346 63134,4700890516 58030,6262302864 64250,6769667525 63132,8361940675 56548,0225523247
64215,3041006346 63176,7884165048 57616,6999609817 64297,4448753286 63220,5262508063 56426,0823907203
64217,6038826567 63220,7542264421 60201,3989231928 64315,4642436803 63268,8121644149 56738,7158350149
64217,6038826567 63272,2923465754 58514,7101655182 64376,5714581125 63307,5058098415 56617,0309839649
64217,6038826567 63284,0850133406 59693,241129841 64437,3644713375 63366,5350417981 55577,1987514648
64217,6038826567 63306,0001665092 58102,8352827977 64376,5714581125 63383,3122014376 57010,6456191267
64428,1270542707 63398,1066820718 59127,8592308915 64507,3112738659 63435,1790038577 56708,1788022932
64428,1270542707 63429,6266789841 59772,0086284691 64507,3112738659 63458,9443497102 56811,6531687516
64428,1270542707 63442,6358061003 59539,5567638796 64507,3112738659 63524,3382148372 57157,6111782529
64469,8495095434 63495,8162835293 59825,3467144737 64525,8770318513 63560,6973032291 56859,8565993217
64469,8495095434 63529,1600172148 59249,2905865087 64525,8770318513 63580,1434250774 56843,0041270291
64469,8495095434 63533,6253760213 59572,317111449 64545,3695216352 63622,9298932526 57198,0528253566
64473,9155974972 63567,8886393582 59054,9367885812 64556,542681093 63640,9341366967 56449,2132469093
64473,9155974972 63567,8886393582 60012,4378697168 64567,0478410055 63679,0953112617 56953,7961905835
64607,352371467 63591,8146655516 60242,1447841792 64570,8317420746 63693,9565918015 56805,1646987225
64700,9713763458 63617,2792680376 59797,8522627632 64570,8317420746 63749,1772264762 56857,8263012104
64700,9713763458 63641,0282251627 58843,5629602394 64575,8880992387 63763,6532222491 57176,6361689042
64700,9713763458 63713,4386770661 59996,9577439362 64598,3773897683 63781,3848727604 57511,0327004185
64701,1463233313 63922,8039768571 58057,4910545035 64751,8325692197 63926,3093038034 57242,4118192117
64701,1463233313 63978,2912781109 59375,0759170884 64751,8325692197 63966,918721688 55439,2916818739
64764,2629360146 64002,5261063769 59310,8790350926 64751,8325692197 63973,4792264151 56229,9457836036
64764,2629360146 64035,8997847485 59766,2458032053 64843,4304112425 64020,9451061338 57457,0831715309
64797,1420749666 64068,2933314788 58989,5602420924 64843,4304112425 64026,9444951854 57139,3642196592
64797,1420749666 64094,0266760434 60067,3900584072 64843,4304112425 64038,4916374631 57830,9135861893
64797,1420749666 64117,1882523433 60067,3900584072 64843,4304112425 64056,5025221804 57099,0587779332
64817,8940016147 64132,6608016197 60358,1481379318 64843,4304112425 64074,8120156697 57658,7497081323
64817,8940016147 64150,7753599044 60336,6088379997 64849,2887580123 64088,0559849511 57875,8313958975
64817,8940016147 64153,9803221132 59976,6133232228 64849,2887580123 64092,2262805497 57029,6706405504
64868,2053524826 64185,6680543608 60553,2619255464 64873,9485466112 64115,073067173 57759,9054650715
64868,2053524826 64254,6146513746 60117,4212359571 64873,9485466112 64151,7249562185 57054,0154059779
64880,9468871121 64269,4473683808 59585,4600123394 64873,9485466112 64166,3184086083 57595,5824449718
64926,3342123075 64297,9545768981 59953,5620450378 64900,7607301907 64174,7052962268 56683,3811009206
64926,3342123075 64299,2959501717 58598,9271801425 64900,7607301907 64176,5147236965 57351,0696705524
64926,3342123075 64306,1294520241 60036,7930557077 64900,7607301907 64202,8641859754 57990,179857587
64960,3603181694 64317,3963960471 60438,6211415067 64901,2509676193 64224,089205057 56767,4095832294
64960,3603181694 64333,8922483348 59859,1122164775 64901,2509676193 64220,659712931 56802,3839198664
64960,3603181694 64363,016664445 59118,1317528408 64901,2509676193 64232,4683177354 57841,5189550823
64960,3603181694 64378,9767140631 59118,1317528408 64901,2509676193 64247,229806906 57110,1032505095
64960,3603181694 64486,3618622057 59459,0818912413 64960,3603181694 64428,5619350878 56851,6498221807
64960,3603181694 64507,9632188872 59951,9894930519 64960,3603181694 64439,3759576507 57871,1670419653
64961,035273047 64520,6090598483 60530,268983025 64982,4668248777 64464,0558619651 56666,9309946209
64961,035273047 64524,3080280614 60523,6638894103 64982,4668248777 64483,0903782746 57824,4052689611
64961,035273047 64534,1094585108 60999,6333672848 65057,4578446066 64513,8902066315 57553,7042486573
64961,035273047 64527,2562033268 59811,7839439946 65057,4578446066 64524,3862690925 58058,1670721058
65007,7081946627 64531,9234954884 60997,7347911424 65057,4578446066 64541,8506918032 57525,5274205268
65007,7081946627 64540,4909579138 60727,2385354324 65057,4578446066 64543,8196985918 57793,7083720415
65014,4400126824 64547,547167309 60335,662901089 65057,4578446066 64546,8650907092 58235,6344481568
65014,4400126824 64551,1686011773 60318,699363457 65081,2065814522 64555,0381675843 57868,0410506489
65063,1165829605 64556,9822366124 60179,3380007265 65058,2824338066 64560,8295682302 58317,3799382976
65073,3596377337 64571,892973943 59859,1122164775 65081,2065814522 64569,5477849219 57898,8268281286
65073,3596377337 64584,4848055633 61054,2530210448 65081,2065814522 64574,3040325891 57868,0410506489
65073,3596377337 64589,465195375 60866,2696523677 65081,2065814522 64576,148872635 57798,6873405806
65073,3596377337 64605,7314828559 60507,8276734667 65081,2065814522 64581,1288285095 57553,456426171
65073,3596377337 64606,3533343633 60137,5300105549 65081,2065814522 64579,5769347839 57924,6664882922
65073,3596377337 64605,7314828559 61136,7928085444 65081,2065814522 64583,7885952802 58343,0135020744
65073,3596377337 64608,0698076197 61115,1919314553 65081,2065814522 64594,7330338963 57634,8810649155
65073,3596377337 64621,3260591849 60829,3282192059 65081,2065814522 64606,675091321 58344,1534794569
65073,3596377337 64621,3260591849 60866,2696523677 65081,2065814522 64612,7754180233 57891,582601577
65196,1380138257 64702,8800471096 59720,0203043174 65081,2065814522 64668,3967933672 58462,4146252663
65242,1570128245 64708,6877687957 60300,7447873279 65081,2065814522 64686,6759045172 57746,8005670368
65242,1570128245 64713,7132765021 60683,9492379502 65105,2227486379 64703,267285668 57785,7738424751
65254,3916989278 64721,0593114345 60927,5326908599 65105,2227486379 64713,3111392837 57910,6582823553
65404,2054696319 64736,0406885049 60932,5047175104 65105,2227486379 64717,7255572119 58264,6804082814
65404,2054696319 64740,8814948058 59829,7446148534 65105,2227486379 64719,540028084 57940,7770128779
65404,2054696319 64745,0894132934 60288,2107088429 65105,2227486379 64723,9632359772 58389,5563590363
65404,2054696319 64759,2360392205 59959,4935268641 65105,2227486379 64726,1510658823 58327,7198870662
65404,2054696319 64763,0726905869 60677,1585579995 65105,2227486379 64730,8911704105 58467,5234477746
65404,2054696319 64773,6736052002 61174,5926589091 65105,2227486379 64734,6883815978 57915,5987687627
65404,2054696319 64773,9569384322 60195,8005956989 65105,2227486379 64736,8762115029 58443,6068730167
65404,2054696319 64785,6150563025 61388,4816665579 65105,2227486379 64736,8762115029 57915,5987687627
65404,2054696319 64787,0018715105 61244,1853072737 65109,8419383101 64744,0502783428 58193,6696179863
65404,2054696319 64789,6010830986 61252,4834105889 65109,8419383101 64741,6875969994 57915,5987687627
65444,4638438389 64797,8364350781 60195,8005956989 65109,8419383101 64746,9102446689 58455,5150113857
65444,4638438389 64803,6899548955 60322,1439425715 65109,8419383101 64746,9871067948 57303,4782169488
65444,4638438389 64810,7635677872 60677,1585579995 65109,8419383101 64750,7712591854 57904,8497227382
65444,4638438389 64811,0531919985 61287,4335736443 65112,852449638 64762,0078306885 58199,7750782078
65444,4638438389 64815,6976360817 60291,1001628608 65112,852449638 64762,1225351989 58192,807209421
65444,4638438389 64815,6976360817 61364,6447205862 65112,852449638 64765,8964044434 58295,388024462
65444,4638438389 64841,7678504668 61106,247354238 65444,4638438389 64842,0671606854 58725,4169563573
65444,4638438389 64842,2713042233 59870,5204537625 65444,4638438389 64848,3988259934 58154,9285151219
65444,4638438389 64842,3860087336 60962,2484738274 65444,4638438389 64850,8849720069 58302,802852207
65444,4638438389 64844,6507202994 61546,0224049979 65444,4638438389 64849,9554840321 58161,0661816847
65504,3116149612 64850,6866394056 61289,4757034028 65444,4638438389 64851,6863263398 58264,6804082814
