59641,3518925216 58408,2624202816 41797,5989959722 59521,7261077315 58276,5525095565 35595,7087363089
59641,3518925216 58416,4290459666 42627,9698810171 59521,7261077315 58289,3337385426 39270,2702121584
59641,3518925216 58420,5968657299 44333,0146817837 59521,7261077315 58289,7225766331 35608,8861285601
59641,3518925216 58420,5968657299 40054,9537841857 59521,7261077315 58306,1224780867 35608,8861285601
59641,3518925216 58420,5968657299 43095,590086921 59521,7261077315 58306,4882730351 36618,2879008304
59641,3518925216 58468,7350050745 40665,5341450679 59641,3518925216 58435,733893601 38728,6013301638
59641,3518925216 58469,1238431649 42574,7284169656 59714,238487428 58442,4585944654 32306,5710516439
59641,3518925216 58469,1238431649 41313,7337902094 59714,238487428 58449,4645434714 37139,1147698345
59641,3518925216 58469,1238431649 37519,1194218563 59754,1569014436 58453,456384873 36581,7435913106
59641,3518925216 58480,9002488088 39452,5256967059 59714,238487428 58454,0488529672 33513,2867545023
59641,3518925216 58480,9002488088 45316,6357480181 59714,238487428 58458,5925967839 39475,4493803225
59641,3518925216 58491,328381342 37265,848072876 59714,238487428 58464,469704965 40582,1307147542
59641,3518925216 58491,328381342 41733,0051187084 59714,238487428 58483,800030813 37158,8988610944
59641,3518925216 58491,328381342 36314,4764689646 59722,876797971 58484,6638618673 35815,0476037187
59641,3518925216 58491,328381342 46923,3931718796 59754,1569014436 58489,9175114125 32375,5275872224
59641,3518925216 58541,3046864509 40172,3546842081 59754,1569014436 58491,0975840292 40024,772782528
59641,3518925216 58541,3046864509 42228,0231608853 59754,1569014436 58504,6119678028 37207,6226074039
59641,3518925216 58541,4787310153 44657,664736531 59754,1569014436 58505,8720679248 36792,2536895517
59641,3518925216 58559,1730701967 44009,3805078261 59762,7952119866 58505,4908032228 39520,3846895112
59641,3518925216 58559,1730701967 46691,0761258411 59754,1569014436 58511,953079635 32375,5275872224
59641,3518925216 58580,8644137511 43942,1430032259 59754,1569014436 58511,953079635 35835,8831726967
59641,3518925216 58580,8644137511 46585,1523955156 59754,1569014436 58513,0092818694 35835,8831726967
59641,3518925216 58607,777291597 42753,1043392809 59791,4751106778 58518,9645277056 35835,8831726967
59641,3518925216 58607,9513361614 38072,9865997217 59791,4751106778 58518,9795320714 42362,1548751582
59641,3518925216 58612,2826121952 42816,9596281818 59791,4751106778 58518,9795320714 35835,8831726967
59797,1640319439 58634,6640765856 39132,2921474001 59791,4751106778 58656,3179596113 38828,9448211694
59928,8006181516 58649,8650256005 37522,9984486619 59791,4751106778 58656,3179596113 32700,7580457652
59955,1897109781 58652,5039348832 41659,6477885253 59791,4751106778 58658,3004246771 32700,7580457652
59955,1897109781 58652,5039348832 42487,2767831683 59791,4751106778 58658,3004246771 37126,9263796169
59955,1897109781 58652,5039348832 41659,6477885253 59791,4751106778 58659,1345359204 32745,4851029258
59955,1897109781 58654,7163288968 43561,7051603561 59791,4751106778 58662,5973510728 37523,7001115161
59955,1897109781 58654,7163288968 46772,5765902296 59791,4751106778 58662,5973510728 40384,2133595262
59955,1897109781 58663,4698927905 40739,2579130665 59791,4751106778 58662,5973510728 32745,4851029258
59955,1897109781 58663,4698927905 45331,6332908686 59791,4751106778 58663,4843987732 41320,8592778594
59955,1897109781 58666,155696928 41847,1767829946 59791,4751106778 58663,4843987732 41221,8344495441
59955,1897109781 58666,8496611761 45414,737044259 59791,4751106778 58663,4843987732 38270,7858269578
59955,1897109781 58666,8496611761 42574,7284169656 59791,4751106778 58666,8102497788 37569,1961209352
59955,1897109781 58669,3906634891 43171,0686611971 59791,4751106778 58667,8123862852 33925,9892648035
59955,1897109781 58683,3184622063 42902,7848105394 59791,4751106778 58667,8123862852 38270,7858269578
59955,1897109781 58694,8664023355 42604,1845680636 59791,4751106778 58676,9778969638 39506,8119234581
59955,1897109781 58694,8664023355 43138,9738517544 59800,1506040692 58677,8454463029 37569,1961209352
59955,1897109781 58694,8664023355 43562,8268611208 59800,1506040692 58677,8454463029 37170,7576719215
59955,1897109781 58730,1969621079 41659,6477885253 59800,1506040692 58677,8454463029 38872,2575815069
59955,1897109781 58736,9972126781 44433,8385747716 59800,1506040692 58678,6762789357 37569,1961209352
59955,1897109781 58738,420761293 41698,4263391058 59809,4682377339 58682,0568368167 36284,4766516689
59955,1897109781 58817,7816803448 42734,0313782963 59955,1897109781 58759,3383126363 37664,577285365
59955,1897109781 58817,7816803448 43741,28732354 59955,1897109781 58765,4378349567 38362,4409337442
60066,5489789326 58879,6059160616 47367,9800029101 59955,1897109781 58780,755688874 37751,9679862272
60066,5489789326 58882,7786415843 45051,6819799786 59955,1897109781 58788,470851096 38963,9126882933
60066,5489789326 58882,7786415843 44677,4847017158 59955,1897109781 58788,470851096 38943,5154808546
60066,5489789326 58882,7786415843 44594,6240541058 59973,1828380342 58790,2701638016 39601,6045941232
60066,5489789326 58882,7786415843 44939,1747680878 59973,1828380342 58842,9333740004 38362,4409337442
60066,5489789326 58882,7786415843 43098,988531121 59963,7069551742 58826,594356109 39987,9056594946
60066,5489789326 58887,6574256549 45154,684378932 59963,7069551742 58826,594356109 37751,9679862272
60066,5489789326 58887,6574256549 44817,5596944093 59963,7069551742 58826,594356109 37751,9679862272
60066,5489789326 58887,6574256549 39074,652654845 59981,7000822303 58834,0364106643 38362,4409337442
60066,5489789326 58887,6574256549 41173,4652732351 59981,7000822303 58847,1803509421 38943,5154808546
60066,5489789326 58887,6574256549 46221,6042401348 59981,7000822303 58847,1803509421 43606,5937396223
60066,5489789326 58887,6574256549 40950,5734631214 59981,7000822303 58847,1803509421 40298,6557286707
60066,5489789326 58887,6574256549 41954,7417332193 59981,7000822303 58847,8605547584 40298,6557286707
60066,5489789326 58887,6574256549 46936,648813671 59981,7000822303 58847,8605547584 34020,9455039135
60066,5489789326 58887,6574256549 39074,652654845 59981,7000822303 58849,9474271631 32839,5617913208
60066,5489789326 58887,6574256549 39074,652654845 59981,7000822303 58877,7640204878 38362,4409337442
60066,5489789326 58888,1145113785 42890,5058758868 59981,7000822303 58877,7640204878 38362,4409337442
60066,5489789326 58900,5336900636 37984,860021813 59981,7000822303 58877,7640204878 37664,577285365
60066,5489789326 58984,3391191397 41173,4652732351 60066,5489789326 58991,5180688896 36284,4766516689
